,Address,Coordinates
2851,"500  61ST STREET, SAN DIEGO","(32.709848, -117.0667261)"
2852,"10  30TH STREET, SAN DIEGO","(32.705941100000004, -117.12970379999999)"
2853,"3000  CLAIREMONT DRIVE, SAN DIEGO","(32.7943749, -117.19487620000001)"
2854,"4300  CAM DE LA PLAZA , SAN DIEGO","(32.5441377, -117.04112240000002)"
2855,"600  08TH AVENUE, SAN DIEGO","(32.715738, -117.1610838)"
2856,"4100  SPORTS ARENA BOULEVARD, SAN DIEGO","(32.756684, -117.2224051)"
2857,"3800  10TH AVENUE, SAN DIEGO","(32.7476916, -117.1554963)"
2858,"6800  KEARNY VILLA ROAD, SAN DIEGO","(32.8529413, -117.11988459999999)"
2859,"1600  SUNSET CLIFFS BOULEVARD, SAN DIEGO","(32.739678600000005, -117.2519666)"
2860,"2000  SUNSET CLIFFS BOULEVARD, SAN DIEGO","(32.746647700000004, -117.2461952)"
2861,"600 S 31ST STREET, SAN DIEGO","(32.7000564, -117.1273864)"
2862,"0  SUNSET CLIFFS BOULEVARD, SAN DIEGO","(32.718002, -117.2548558)"
2863,"4200  OCEAN BOULEVARD, SAN DIEGO","(32.7915883, -117.255404)"
2864,"4700  LOGAN AVENUE, SAN DIEGO","(32.6967978, -117.09373570000001)"
2865,"2100  NORTH HARBOR DRIVE, SAN DIEGO","(32.7275995, -117.17842250000001)"
2866,"3300  MURPHY CANYON ROAD, SAN DIEGO","(32.80357730000001, -117.1137783)"
2867,"4900  VOLTAIRE STREET, SAN DIEGO","(32.7509812, -117.24488829999999)"
2868,"4300  36TH STREET, SAN DIEGO","(32.7552964, -117.1157874)"
2869,"3900  KANSAS STREET, SAN DIEGO","(32.7484703, -117.13138899999998)"
2870,"14300  CAM DEL SUR , SAN DIEGO","(32.978610100000004, -117.149492)"
2871,"600  BONSALL STREET, SAN DIEGO","(32.7094703, -117.0308166)"
2872,"0  16TH STREET, SAN DIEGO","(32.7124618, -117.14946100000002)"
2873,"0  LANING ROAD, SAN DIEGO","(32.7289741, -117.2188277)"
2874,"0  SILKTREE COURT, SAN DIEGO","(32.6916412, -117.1173755)"
2875,"2200  MARKET STREET, SAN DIEGO","(32.711556699999996, -117.14400479999999)"
2876,"1300  SUNSET CLIFFS BOULEVARD, SAN DIEGO","(32.734649600000004, -117.25576609999999)"
2877,"0  54TH STREET, SAN DIEGO","(32.7475387, -117.0795338)"
2878,"4200  CAM DE LA PLAZA , SAN DIEGO","(32.5452915, -117.04486499999999)"
2879,"4200  CLAIREMONT MESA BOULEVARD, SAN DIEGO","(32.8311724, -117.2017713)"
2880,"1200  C STREET, SAN DIEGO","(32.7167974, -117.153702)"
2881,"1800  CATALINA BOULEVARD, SAN DIEGO","(32.7367571, -117.2387908)"
2882,"5100  ORCUTT AVENUE, SAN DIEGO","(32.791254800000004, -117.08419109999998)"
2883,"6900  BALBOA AVENUE, SAN DIEGO","(32.82058660000001, -117.16710659999998)"
2884,"5100  63RD STREET, SAN DIEGO","(32.7705125, -117.06433359999998)"
2885,"0  UNIVERSITY AVENUE, SAN DIEGO","(32.7495402, -117.08960390000001)"
2886,"4100  UNIVERSITY AVENUE, SAN DIEGO","(32.749719899999995, -117.1069393)"
2887,"5300  GRAND DEL MAR COURT, SAN DIEGO","(32.940043100000004, -117.19745990000001)"
2888,"10700  RANCHO BERNARDO , SAN DIEGO","(33.0335773, -117.08058249999999)"
2889,"200 W ASH STREET, SAN DIEGO","(32.719875699999996, -117.1647818)"
2890,"300  28TH STREET, SAN DIEGO","(32.7084946, -117.13382779999999)"
2891,"1700  PERSHING DRIVE, SAN DIEGO","(32.722600199999995, -117.1428547)"
2892,"500  04TH AVENUE, SAN DIEGO","(32.71069689999999, -117.161309)"
2893,"2700  BARBOUR DRIVE, SAN DIEGO","(32.5805434, -117.0748997)"
2894,"2900 E HARBOR DRIVE, SAN DIEGO","(32.692483100000004, -117.13907250000001)"
2895,"6300  MIRA MESA BOULEVARD, SAN DIEGO","(32.90462539999999, -117.18254579999999)"
2896,"1700  NEWTON AVENUE, SAN DIEGO","(32.7020939, -117.14874109999998)"
2897,"500 S 36TH STREET, SAN DIEGO","(32.701236, -117.11680020000001)"
2898,"0  ALTADENA AVENUE, SAN DIEGO","(32.7582598, -117.0857598)"
2899,"0  DOVE STREET, SAN DIEGO","(32.7503316, -117.168683)"
2900,"9300  DOWDY DRIVE, SAN DIEGO","(32.8906316, -117.1469495)"
2901,"600  14TH STREET, SAN DIEGO","(32.711573800000004, -117.1519467)"
2902,"7600  BALBOA AVENUE, SAN DIEGO","(32.822349100000004, -117.15941289999999)"
2903,"3300  ROSECRANS STREET, SAN DIEGO","(32.747848499999996, -117.20819159999999)"
2904,"6200  IMPERIAL AVENUE, SAN DIEGO","(32.7098827, -117.0639575)"
2905,"4700  MARKET STREET, SAN DIEGO","(32.7114143, -117.09355349999998)"
2906,"6900  LINDA VISTA ROAD, SAN DIEGO","(32.7835407, -117.1717605)"
2907,"3300  DALEY CENTER DRIVE, SAN DIEGO","(32.8027304, -117.1167504)"
2908,"1700  CORONADO AVENUE, SAN DIEGO","(32.576475, -117.0970705)"
2909,"500  BROADWAY , SAN DIEGO","(32.7158717, -117.1599422)"
2910,"300  WASHINGTON STREET, SAN DIEGO","(32.7499705, -117.16277679999999)"
2911,"6000  LA JOLLA BOULEVARD, SAN DIEGO","(32.8198733, -117.2733035)"
2912,"8000  MISSION GORGE ROAD, SAN DIEGO","(32.8385575, -116.9737505)"
2913,"4000  30TH STREET, SAN DIEGO","(32.750343300000004, -117.13016429999999)"
2914,"2200  EL CAJON BOULEVARD, SAN DIEGO","(32.7556053, -117.14106670000001)"
2915,"4200  EUCLID AVENUE, SAN DIEGO","(32.7531147, -117.09224429999999)"
2916,"4700  SANTA CRUZ AVENUE, SAN DIEGO","(32.740295399999994, -117.2488037)"
2917,"1100  TURQUOISE STREET, SAN DIEGO","(32.809821500000005, -117.2536713)"
2918,"1100  TURQUOISE STREET, SAN DIEGO","(32.809821500000005, -117.2536713)"
2919,"3500  MAIN STREET, SAN DIEGO","(32.6877866, -117.1186962)"
2920,"4400  UNIVERSITY AVENUE, SAN DIEGO","(32.7496185, -117.0998189)"
2921,"9600  TIERRA GRANDE STREET, SAN DIEGO","(32.895504100000004, -117.1216057)"
2922,"1300  GOSHEN STREET, SAN DIEGO","(32.7691359, -117.18783400000001)"
2923,"0  BACHMAN PLACE, SAN DIEGO","(32.7569038, -117.1645736)"
2924,"0  54TH STREET, SAN DIEGO","(32.7475387, -117.0795338)"
2925,"3900  F STREET, SAN DIEGO","(32.713813699999996, -117.1231507)"
2926,"5500  WARING ROAD, SAN DIEGO","(32.7978859, -117.0723206)"
2927,"0  17TH STREET, SAN DIEGO","(32.7081669, -117.1488415)"
2928,"2800  COMMERCIAL STREET, SAN DIEGO","(32.705403000000004, -117.13387820000001)"
2929,"400  10TH AVENUE, SAN DIEGO","(32.7094222, -117.1555462)"
2930,"3700  33RD STREET, SAN DIEGO","(32.745598699999995, -117.1228683)"
2931,"3100  MISSION BOULEVARD, SAN DIEGO","(32.7702375, -117.25100049999999)"
2932,"0  05TH AVENUE, SAN DIEGO","(32.715738, -117.1610838)"
2933,"0  EL CAJON BOULEVARD, SAN DIEGO","(32.7574564, -117.0825429)"
2934,"3800  CONVOY STREET, SAN DIEGO","(32.8123258, -117.1529749)"
2935,"1900  CABLE STREET, SAN DIEGO","(32.7458143, -117.24934270000001)"
2936,"6100  ESTELLE STREET, SAN DIEGO","(32.7588304, -117.0663379)"
2937,"4000  CLAIREMONT DRIVE, SAN DIEGO","(32.81361939999999, -117.2010381)"
2938,"0  EUCLID AVENUE, SAN DIEGO","(32.7329513, -117.08832279999999)"
2939,"8600  MISSION CENTER ROAD, SAN DIEGO","(32.7892474, -117.1489557)"
2940,"0  BILLMAN STREET, SAN DIEGO","(32.7478599, -117.05883390000001)"
2941,"1100  EAST MISSION BAY DRIVE, SAN DIEGO","(32.7811515, -117.20911869999999)"
2942,"12700  ABRA DRIVE, SAN DIEGO","(33.0202251, -117.0566912)"
2943,"3500  LOUISIANA STREET, SAN DIEGO","(32.7419776, -117.1400778)"
2944,"300  WELLING WAY, SAN DIEGO","(32.707114600000004, -117.04619540000002)"
2945,"3300  SUNRISE STREET, SAN DIEGO","(32.714373800000004, -117.1210325)"
2946,"4800  COLLEGE AVENUE, SAN DIEGO","(32.765233, -117.06718300000001)"
2947,"5900  LARCHWOOD AVENUE, SAN DIEGO","(32.8080081, -117.0659064)"
2948,"5000  ELKHART STREET, SAN DIEGO","(32.7314571, -117.0867098)"
2949,"2200  CORONADO AVENUE, SAN DIEGO","(32.5775418, -117.08568290000001)"
2950,"800  16TH STREET, SAN DIEGO","(32.7136792, -117.14947579999999)"
2951,"4300  BOSTON AVENUE, SAN DIEGO","(32.6932138, -117.1023642)"
2952,"11100  ICE SKATE PLACE, SAN DIEGO","(32.921333600000004, -117.121953)"
2953,"13200  BLACK MTN ROAD, SAN DIEGO","(32.95741339999999, -117.1285501)"
2954,"3600  MISSION BOULEVARD, SAN DIEGO","(32.7805092, -117.2527997)"
2955,"3600  MISSION BOULEVARD, SAN DIEGO","(32.7805092, -117.2527997)"
2956,"0  58TH STREET, SAN DIEGO","(32.7523974, -117.0720483)"
2957,"600  62ND STREET, SAN DIEGO","(32.7111285, -117.064264)"
2958,"1000  33RD STREET, SAN DIEGO","(32.7160319, -117.1231547)"
2959,"2500  INGRAHAM STREET, SAN DIEGO","(32.765978999999994, -117.23332009999999)"
2960,"5000  CARMEL VALLEY ROAD, SAN DIEGO","(32.9517903, -117.19422639999999)"
2961,"5200  MT ALIFAN DRIVE, SAN DIEGO","(32.8163011, -117.1835498)"
2962,"5200  MONROE AVENUE, SAN DIEGO","(32.7589702, -117.08356940000002)"
2963,"4600  WEST POINT LOMA BOULEVARD, SAN DIEGO","(32.751477, -117.23598770000001)"
2964,"2400  MARKET STREET, SAN DIEGO","(32.7118503, -117.14244280000001)"
2965,"0  GOVERNOR DRIVE, SAN DIEGO","(32.854228000000006, -117.2041308)"
2966,"12900  SALMON RIVER ROAD, SAN DIEGO","(32.952630600000006, -117.1207625)"
2967,"500  HOTEL CIRCLE, SAN DIEGO","(32.7632722, -117.1679709)"
2968,"5000  ORANGE AVENUE, SAN DIEGO","(32.7530686, -117.08690179999999)"
2969,"1600  ROSECRANS STREET, SAN DIEGO","(32.7274028, -117.2268656)"
2970,"2300  WEST MISSION BAY DRIVE, SAN DIEGO","(32.7596683, -117.2272997)"
2971,"2300  FENTON PARKWAY, SAN DIEGO","(32.7800723, -117.13032549999998)"
2972,"3900  DOVE STREET, SAN DIEGO","(32.7484092, -117.1689179)"
2973,"2500  EL CAJON BOULEVARD, SAN DIEGO","(32.75538179999999, -117.1373949)"
2974,"3100  MARLBOROUGH AVENUE, SAN DIEGO","(32.738617600000005, -117.10583659999999)"
2975,"2000  ROSECRANS STREET, SAN DIEGO","(32.7323702, -117.2228439)"
2976,"1800  PALM AVENUE, SAN DIEGO","(32.5839078, -117.0948504)"
2977,"4300  ALABAMA STREET, SAN DIEGO","(32.755369300000005, -117.1425477)"
2978,"15000  INNOVATION DRIVE, SAN DIEGO","(32.9887041, -117.0769923)"
2979,"2800  KURTZ STREET, SAN DIEGO","(32.7512186, -117.2021047)"
2980,"0 E MISSION BAY DRIVE, SAN DIEGO","(32.7793012, -117.2108433)"
2981,"2600  EAST MISSION BAY DRIVE, SAN DIEGO","(32.7896111, -117.20894380000001)"
2982,"4900  SHAWLINE STREET, SAN DIEGO","(32.830401699999996, -117.16380670000001)"
2983,"0  32ND STREET, SAN DIEGO","(32.7356296, -117.1250606)"
2984,"1900  ILEX AVENUE, SAN DIEGO","(32.570040399999996, -117.09275249999999)"
2985,"5100  BRIGHTON AVENUE, SAN DIEGO","(32.7512942, -117.2499055)"
2986,"4800  LEHRER DRIVE, SAN DIEGO","(32.838474, -117.18701670000002)"
2987,"6700  NAVAJO ROAD, SAN DIEGO","(32.8018914, -117.05009380000001)"
2988,"0  HOME AVENUE, SAN DIEGO","(32.727331400000004, -117.10155900000001)"
2989,"500  10TH AVENUE, SAN DIEGO","(32.7104597, -117.155576)"
2990,"4000  04TH AVENUE, SAN DIEGO","(32.7548564, -117.16167659999998)"
2991,"3700  RACINE ROAD, SAN DIEGO","(32.7443814, -117.0530499)"
2992,"4100  ALPHA STREET, SAN DIEGO","(32.6918948, -117.1060344)"
2993,"500  EUCLID AVENUE, SAN DIEGO","(32.7104808, -117.0851205)"
2994,"4600  KENSINGTON DRIVE, SAN DIEGO","(32.761108, -117.10765430000001)"
2995,"5000  SANTA FE STREET, SAN DIEGO","(32.8130929, -117.21892120000001)"
2996,"8100  AERO DRIVE, SAN DIEGO","(32.8101026, -117.15080290000002)"
2997,"6700  GIFFORD WAY, SAN DIEGO","(32.7845929, -117.1748405)"
2998,"3900  ILLINOIS STREET, SAN DIEGO","(32.7484806, -117.12771770000002)"
2999,"2800  FAIRMOUNT AVENUE, SAN DIEGO","(32.7352695, -117.1011117)"
3000,"4600  ALDINE DRIVE, SAN DIEGO","(32.760494699999995, -117.0956836)"
3001,"7000  CLAIREMONT MESA BOULEVARD, SAN DIEGO","(32.8330384, -117.1642917)"
3002,"15800  PASEO MONTERO , SAN DIEGO","(33.0167652, -117.1402554)"
3003,"0  EUCLID AVENUE, SAN DIEGO","(32.7329513, -117.0883228)"
3004,"1500  F STREET, SAN DIEGO","(32.713667699999995, -117.1503648)"
3005,"4700  MARLBOROUGH DRIVE, SAN DIEGO","(32.7633187, -117.1063899)"
3006,"5200  BALBOA AVENUE, SAN DIEGO","(32.8181055, -117.1854331)"
3007,"4200  GENESEE AVENUE, SAN DIEGO","(32.8193885, -117.182037)"
3008,"7800  FAY AVENUE, SAN DIEGO","(32.8448022, -117.2752135)"
3009,"900  F STREET, SAN DIEGO","(32.7140545, -117.1558408)"
3010,"3500  SPORTS ARENA BOULEVARD, SAN DIEGO","(32.7551821, -117.2123081)"
3011,"7700  MESA COLLEGE DRIVE, SAN DIEGO","(32.801955, -117.1539807)"
3012,"9200  HILLERY DRIVE, SAN DIEGO","(32.913093100000005, -117.1269957)"
3013,"9000  TOWNE CENTRE DRIVE, SAN DIEGO","(32.8693041, -117.2070098)"
3014,"2300  HOTEL CIRCLE, SAN DIEGO","(32.759241700000004, -117.1793148)"
3015,"4000  ARRIBA STREET, SAN DIEGO","(32.8613482, -117.2207834)"
3016,"8200  GOLD COAST DRIVE, SAN DIEGO","(32.9063459, -117.1469131)"
3017,"500  SEA WORLD DRIVE, SAN DIEGO","(32.7641067, -117.2262649)"
3018,"6600  PARKSIDE AVENUE, SAN DIEGO","(32.6710091, -117.0452106)"
3019,"2200  MAIN STREET, SAN DIEGO","(32.6955829, -117.1416498)"
3020,"14000  HIGHLAND RANCH ROAD, SAN DIEGO","(32.97390680000001, -117.0683925)"
3021,"8800  GRAMERCY DRIVE, SAN DIEGO","(32.8028631, -117.1386757)"
3022,"0  GRAMERCY DRIVE, SAN DIEGO","(32.8025093, -117.1341017)"
3023,"11100  BLYTHE ROAD, SAN DIEGO","(32.9224522, -117.1485689)"
3024,"2300  SUNSET CLIFFS BOULEVARD, SAN DIEGO","(32.750861699999994, -117.242362)"
3025,"0  GARNET AVENUE, SAN DIEGO","(32.7979093, -117.2506524)"
3026,"9900  AERO DRIVE, SAN DIEGO","(32.8103478, -117.1145347)"
3027,"4400  IMPERIAL AVENUE, SAN DIEGO","(32.7041733, -117.1006312)"
3028,"3500  DEL MAR HEIGHTS ROAD, SAN DIEGO","(32.9547404, -117.2319313)"
3029,"400  EUCLID AVENUE, SAN DIEGO","(32.7091662, -117.0850959)"
3030,"0  FLOREY STREET, SAN DIEGO","(32.8579235, -117.19143390000002)"
3031,"7300  ECKSTROM AVENUE, SAN DIEGO","(32.8202015, -117.1642752)"
3032,"4100  ALPHA STREET, SAN DIEGO","(32.6918948, -117.1060344)"
3033,"8000  ARJONS DRIVE, SAN DIEGO","(32.8944466, -117.1467372)"
3034,"4500  EVERTS STREET, SAN DIEGO","(32.7981767, -117.2481785)"
3035,"1400  BROADWAY , SAN DIEGO","(32.7159732, -117.151728)"
3036,"2700  CADIZ STREET, SAN DIEGO","(32.7435451, -117.209478)"
3037,"5100  COLLWOOD BOULEVARD, SAN DIEGO","(32.7699476, -117.0859803)"
3038,"3600  LELAND STREET, SAN DIEGO","(32.7493238, -117.2180203)"
3039,"0  CANON STREET, SAN DIEGO","(32.724649199999995, -117.2364626)"
3040,"10700  CAM SANTA FE , SAN DIEGO","(33.0330208, -117.1237446)"
3041,"3800  41ST STREET, SAN DIEGO","(32.7478055, -117.1069558)"
3042,"7500  CARROLL ROAD, SAN DIEGO","(32.8855577, -117.1601581)"
3043,"7600  FRIARS ROAD, SAN DIEGO","(32.772819899999995, -117.157371)"
3044,"0  FAMOSA BOULEVARD, SAN DIEGO","(32.7480476, -117.2293422)"
3045,"5300  REPECHO DRIVE, SAN DIEGO","(32.8295418, -117.1123893)"
3046,"900  SEA WORLD DRIVE, SAN DIEGO","(32.7636813, -117.20961509999998)"
3047,"3200  ADAMS AVENUE, SAN DIEGO","(32.7636694, -117.1247748)"
3048,"3100  MT MIGUEL DRIVE, SAN DIEGO","(32.6664124, -117.059841)"
3049,"4700  LAMONT STREET, SAN DIEGO","(32.8038031, -117.2361918)"
3050,"17000  WEST BERNARDO DRIVE, SAN DIEGO","(33.0239271, -117.08219840000002)"
3051,"5400  IMPERIAL AVENUE, SAN DIEGO","(32.7070865, -117.0787924)"
3052,"300  FERN GLEN , SAN DIEGO","(32.8334683, -117.2805746)"
3053,"0  GOVERNOR DRIVE, SAN DIEGO","(32.854228000000006, -117.2041308)"
3054,"11600  RANCHO BERNARDO ROAD, SAN DIEGO","(33.0238871, -117.0820511)"
3055,"6000  ROCK ISLAND ROAD, SAN DIEGO","(32.681409, -117.0633007)"
3056,"8600  VILLA LA JOLLA DRIVE, SAN DIEGO","(32.8648151, -117.2351865)"
3057,"1900  PALM AVENUE, SAN DIEGO","(32.5839055, -117.0912115)"
3058,"4000  GOVERNOR DRIVE, SAN DIEGO","(32.855043800000004, -117.2028671)"
3059,"7700  EADS AVENUE, SAN DIEGO","(32.8430101, -117.2759059)"
3060,"1400  CAM DE LA REINA , SAN DIEGO","(32.768885600000004, -117.1525551)"
3061,"2100  BALBOA AVENUE, SAN DIEGO","(32.8006839, -117.231328)"
3062,"600  63RD STREET, SAN DIEGO","(32.7112792, -117.0628517)"
3063,"2300  FENTON PARKWAY, SAN DIEGO","(32.7800723, -117.13032549999998)"
3064,"10400  FRIARS ROAD, SAN DIEGO","(32.7906119, -117.09959840000002)"
3065,"17600  SAN DIEGUITO ROAD, SAN DIEGO","(33.0041419, -117.163275)"
3066,"4500  EL CAJON BOULEVARD, SAN DIEGO","(32.7553282, -117.0975753)"
3067,"6900  IMPERIAL AVENUE, SAN DIEGO","(32.7122114, -117.0491852)"
3068,"6600  ALVARADO ROAD, SAN DIEGO","(32.7776418, -117.05875729999998)"
3069,"4100  SPORTS ARENA BOULEVARD, SAN DIEGO","(32.756684, -117.2224051)"
3070,"5300  53RD STREET, SAN DIEGO","(32.7420623, -117.0797469)"
3071,"5500  CLAIREMONT MESA BOULEVARD, SAN DIEGO","(32.834300899999995, -117.1738308)"
3072,"3900  CONVOY STREET, SAN DIEGO","(32.8146577, -117.15441909999998)"
3073,"4700  HOME AVENUE, SAN DIEGO","(32.73501330000001, -117.0935312)"
3074,"0  FEDERAL BOULEVARD, SAN DIEGO","(32.7214687, -117.0940587)"
3075,"3000  ROSECRANS STREET, SAN DIEGO","(32.744339399999994, -117.21251409999998)"
3076,"200 E SAN YSIDRO BOULEVARD, SAN DIEGO","(32.5521066, -117.0423264)"
3077,"14200  MANGO DRIVE, SAN DIEGO","(32.9556419, -117.2475373)"
3078,"5600  EL CAJON BOULEVARD, SAN DIEGO","(32.758678, -117.074716)"
3079,"0  EL CAJON BOULEVARD, SAN DIEGO","(32.7574564, -117.0825429)"
3080,"2300  FAMOSA BOULEVARD, SAN DIEGO","(32.744747499999995, -117.23276470000002)"
3081,"3600  NOBEL DRIVE, SAN DIEGO","(32.8687241, -117.2258852)"
3082,"10300  CARMEL MTN ROAD, SAN DIEGO","(32.963278, -117.1048371)"
3083,"8300  AERO DRIVE, SAN DIEGO","(32.8096636, -117.1471974)"
3084,"5800  BALBOA AVENUE, SAN DIEGO","(32.820347, -117.1781773)"
3085,"10600  WESTVIEW PARKWAY, SAN DIEGO","(32.913740600000004, -117.1203895)"
3086,"3000  EL CAJON BOULEVARD, SAN DIEGO","(32.7554061, -117.1301928)"
3087,"0  CARMEL VALLEY ROAD, SAN DIEGO","(32.9723699, -117.1510588)"
3088,"7500  CHARMANT DRIVE, SAN DIEGO","(32.860297100000004, -117.2294874)"
3089,"5000  LOGAN AVENUE, SAN DIEGO","(32.6967945, -117.0874185)"
3090,"7700  BALBOA AVENUE, SAN DIEGO","(32.8218241, -117.1586937)"
3091,"4700  COLLEGE AVENUE, SAN DIEGO","(32.7626285, -117.0671672)"
3092,"1100  GARNET AVENUE, SAN DIEGO","(32.7977588, -117.2500049)"
3093,"1500  GRAND AVENUE, SAN DIEGO","(32.797529, -117.2421143)"
3094,"1200  CAM DEL RIO , SAN DIEGO","(32.7669328, -117.15328)"
3095,"11600  CAMINO RUIZ , SAN DIEGO","(32.9308416, -117.1443106)"
3096,"4200  UNIVERSITY AVENUE, SAN DIEGO","(32.749642800000004, -117.104474)"
3097,"0  BOND STREET, SAN DIEGO","(32.80413, -117.2206075)"
3098,"0  CAMTO CANTILENA , SAN DIEGO","(33.051503600000004, -117.0710873)"
3099,"600 S WOODMAN STREET, SAN DIEGO","(32.6968821, -117.0522028)"
3100,"1100  VISTA SORRENTO PARKWAY, SAN DIEGO","(32.9031612, -117.2219081)"
3101,"2300  54TH STREET, SAN DIEGO","(32.729930800000005, -117.0799707)"
3102,"3100  EUCLID AVENUE, SAN DIEGO","(32.7373303, -117.09299109999998)"
3103,"900  HOLLISTER STREET, SAN DIEGO","(32.5803855, -117.0841093)"
3104,"3900  MAHAILA AVENUE, SAN DIEGO","(32.8694015, -117.2208877)"
3105,"1600  GARNET AVENUE, SAN DIEGO","(32.7998425, -117.2407445)"
3106,"3000  ROSECRANS STREET, SAN DIEGO","(32.744339399999994, -117.21251409999998)"
3107,"4400  60TH STREET, SAN DIEGO","(32.7569583, -117.0686263)"
3108,"11600  CHERYL RIDGE COURT, SAN DIEGO","(32.9276025, -117.1635585)"
3109,"0 W ASH STREET, SAN DIEGO","(32.7198828, -117.168657)"
3110,"3600  OCEAN VIEW BOULEVARD, SAN DIEGO","(32.7014118, -117.1167786)"
3111,"5100  VOLTAIRE STREET, SAN DIEGO","(32.7531101, -117.2483616)"
3112,"2200  FELSPAR STREET, SAN DIEGO","(32.803147, -117.2301297)"
3113,"500  SATURN BOULEVARD, SAN DIEGO","(32.5862381, -117.09268)"
3114,"0 W F STREET, SAN DIEGO","(32.7135861, -117.1665072)"
3115,"5600  COLLEGE AVENUE, SAN DIEGO","(32.780685600000005, -117.0652722)"
3116,"10300  FRIARS ROAD, SAN DIEGO","(32.7910835, -117.1014638)"
3117,"3800  UNIVERSITY AVENUE, SAN DIEGO","(32.7497041, -117.1118823)"
3118,"17200  BANDY CANYON ROAD, SAN DIEGO","(33.073501199999995, -116.9781952)"
3119,"5200  CLAIREMONT MESA BOULEVARD, SAN DIEGO","(32.8344607, -117.1787096)"
3120,"6100  RANCHO MISSION ROAD, SAN DIEGO","(32.784947700000004, -117.1104112)"
3121,"2700  DEWEY ROAD, SAN DIEGO","(32.737267, -117.211792)"
3122,"900  WEST MISSION BAY DRIVE, SAN DIEGO","(32.7721193, -117.2494521)"
3123,"9300  MIRA MESA BOULEVARD, SAN DIEGO","(32.9172417, -117.1247601)"
3124,"10700  CAM RUIZ , SAN DIEGO","(32.9126086, -117.1439595)"
3125,"5900  ALCALA PARK , SAN DIEGO","(32.7686789, -117.1952808)"
3126,"7600  MESA COLLEGE DRIVE, SAN DIEGO","(32.8008424, -117.157955)"
3127,"5800  EL CAJON BOULEVARD, SAN DIEGO","(32.758807, -117.07263229999998)"
3128,"0 W BEECH STREET, SAN DIEGO","(32.7208864, -117.1673916)"
3129,"4600  36TH STREET, SAN DIEGO","(32.7609408, -117.1151902)"
3130,"0  INGRAHAM STREET, SAN DIEGO","(32.7842107, -117.2363331)"
3131,"0  INGRAHAM STREET, SAN DIEGO","(32.7842107, -117.2363331)"
3132,"2200  EMERALD STREET, SAN DIEGO","(32.8040907, -117.2304119)"
3133,"3700  ALABAMA STREET, SAN DIEGO","(32.7453628, -117.14249309999998)"
3134,"3200  MAIN STREET, SAN DIEGO","(32.6923891, -117.1253574)"
3135,"0  SAINTSBURY GLEN , SAN DIEGO","(33.0207016, -117.1205684)"
3136,"400  WASHINGTON STREET, SAN DIEGO","(32.749979499999995, -117.1616327)"
3137,"3300  LEBON DRIVE, SAN DIEGO","(32.8649322, -117.22542479999998)"
3138,"2600  CLAIREMONT DRIVE, SAN DIEGO","(32.7904747, -117.2032982)"
3139,"2600  44TH STREET, SAN DIEGO","(32.7333256, -117.09977179999998)"
3140,"2300  32ND STREET, SAN DIEGO","(32.7296384, -117.12528190000002)"
3141,"7000  FRIARS ROAD, SAN DIEGO","(32.7693892, -117.1701881)"
3142,"4100  EUCLID AVENUE, SAN DIEGO","(32.7513945, -117.0922872)"
3143,"3200  PARK BOULEVARD, SAN DIEGO","(32.7385817, -117.1477041)"
3144,"200 W WASHINGTON STREET, SAN DIEGO","(32.7499548, -117.1650448)"
3145,"4300  CAM DE LA PLAZA , SAN DIEGO","(32.5441377, -117.04112240000002)"
3146,"0  BERGER AVENUE, SAN DIEGO","(32.802189, -117.1518158)"
3147,"1600  PENTECOST WAY, SAN DIEGO","(32.722213, -117.0825286)"
3148,"5900  GULLSTRAND STREET, SAN DIEGO","(32.8483872, -117.1915998)"
3149,"6100  WUNDERLIN AVENUE, SAN DIEGO","(32.7147868, -117.06641609999998)"
3150,"2200  ULRIC STREET, SAN DIEGO","(32.7837128, -117.1695716)"
3151,"3400  COLLEGE AVENUE, SAN DIEGO","(32.7422586, -117.0516876)"
3152,"4300  Z STREET, SAN DIEGO","(32.6926587, -117.1023491)"
3153,"3100  MIDWDAY DRIVE, SAN DIEGO","(32.7507985, -117.2070916)"
3154,"0  EBERS STREET, SAN DIEGO","(32.742414000000004, -117.2469517)"
3155,"1000  17TH STREET, SAN DIEGO","(32.7157757, -117.1485665)"
3156,"12000  CARMEL COUNTRY ROAD, SAN DIEGO","(32.9451094, -117.2210364)"
3157,"2300  NAUTILUS STREET, SAN DIEGO","(32.8338848, -117.2505868)"
3158,"4300  VANDEVER AVENUE, SAN DIEGO","(32.7877228, -117.1014563)"
3159,"200  WILLOW ROAD, SAN DIEGO","(32.5495367, -117.0423663)"
3160,"2200  MOORE STREET, SAN DIEGO","(32.7475998, -117.1923429)"
3161,"0  OTHELLO AVENUE, SAN DIEGO","(32.8168519, -117.1560321)"
3162,"2200  GENESEE AVENUE, SAN DIEGO","(32.79218830000001, -117.15722859999998)"
3163,"2300  CARDINAL DRIVE, SAN DIEGO","(32.7859178, -117.1573929)"
3164,"600  EUCLID AVENUE, SAN DIEGO","(32.7117701, -117.0854629)"
3165,"9900  MIRA MESA BOULEVARD, SAN DIEGO","(32.9172386, -117.1133897)"
3166,"12700  MORAN WAY, SAN DIEGO","(32.94699919999999, -117.1283065)"
3167,"0  59TH STREET, SAN DIEGO","(32.761562, -117.0707768)"
3168,"6700  LINDA VISTA ROAD, SAN DIEGO","(32.7753197, -117.1736565)"
