,report_id,date_time,police_beat,address_number_primary,address_pd_primary,address_road_primary,address_sfx_primary,address_pd_intersecting,address_name_intersecting,address_sfx_intersecting,violation_section,violation_type,charge_desc,injured,killed,hit_run_lvl,lat,lon
14775,185032,2018-06-22 20:47:00,615,1800, ,ROSECRANS,STREET, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,,,
14776,184965,2018-06-22 20:50:00,512,2800, ,NATIONAL,AVENUE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,,,
14777,184839,2018-06-22 20:57:00,612,2900, ,ROSECRANS,STREET, , , ,21703,VC,FOLLOWING TOO CLOSELY,3,0,,,
14778,184968,2018-06-22 21:28:00,124,500, ,BIRD ROCK,AVENUE, , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,0,0,,,
14779,184799,2018-06-22 22:10:00,444,0, ,39TH,STREET, ,F,STREET,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,,
14780,184911,2018-06-22 22:45:00,723,3900, ,PALM,AVENUE, , , ,21453A,VC,RED OR STOPVEHICLES STOP AT LIMIT LINE,1,0,,,
14781,185739,2018-06-22 22:50:00,111,5500, ,BALBOA,AVENUE, , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,0,0,MISDEMEANOR,,
14782,184850,2018-06-22 22:53:00,833,3700, ,EUCLID,AVENUE, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,2,0,,,
14783,184866,2018-06-22 23:05:00,512,300,S,EVANS,STREET, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,,
14784,185267,2018-06-23 00:01:00,124,8600, ,VILLA LA JOLLA,DRIVE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,,
14785,184937,2018-06-23 00:30:00,521,1500, ,F,STREET, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,2,0,,,
14786,184810,2018-06-23 02:28:00,313,5500, ,KEARNY VILLA,ROAD, , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,0,0,MISDEMEANOR,,
14787,184791,2018-06-23 03:12:00,451,6500, ,LEMARAND,AVENUE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,,
14788,184795,2018-06-23 08:00:00,838,4000, ,WABASH,AVENUE, , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,0,0,MISDEMEANOR,,
14789,184854,2018-06-23 09:35:00,934,12300, ,EL CAMINO REAL, , , , ,21453A,VC,RED OR STOPVEHICLES STOP AT LIMIT LINE,2,0,,,
